Time,rdy,bsy,rd,wr,ka,log,dns,cls
Jan:08:2014:19:38:57,70,8,0,3,5,0,0,0
Jan:08:2014:19:39:27,75,3,0,3,0,0,0,0
Jan:08:2014:19:39:57,75,3,0,3,0,0,0,0
Jan:08:2014:19:40:27,75,3,0,3,0,0,0,0
Jan:08:2014:19:40:57,75,3,0,3,0,0,0,0
Jan:08:2014:19:41:27,75,3,0,3,0,0,0,0
Jan:08:2014:19:41:57,75,3,0,3,0,0,0,0
Jan:08:2014:19:42:27,75,3,0,3,0,0,0,0
Jan:08:2014:19:42:57,75,3,0,3,0,0,0,0
Jan:08:2014:19:43:27,75,3,0,3,0,0,0,0
Jan:08:2014:19:43:57,75,3,0,3,0,0,0,0
Jan:08:2014:19:44:27,75,3,0,3,0,0,0,0
Jan:08:2014:19:44:57,75,3,0,3,0,0,0,0
Jan:08:2014:19:45:27,75,3,0,3,0,0,0,0
Jan:08:2014:19:45:57,75,3,0,3,0,0,0,0
Jan:08:2014:19:46:27,75,3,0,3,0,0,0,0
Jan:08:2014:19:46:57,75,3,0,3,0,0,0,0
Jan:08:2014:19:47:27,75,3,0,3,0,0,0,0
Jan:08:2014:19:47:57,75,3,0,3,0,0,0,0
Jan:08:2014:19:48:27,75,3,0,3,0,0,0,0
Jan:08:2014:19:48:57,75,3,0,3,0,0,0,0
Jan:08:2014:19:49:27,75,3,0,3,0,0,0,0
Jan:08:2014:19:49:57,75,3,0,3,0,0,0,0
Jan:08:2014:19:50:27,75,3,0,3,0,0,0,0
Jan:08:2014:19:50:57,75,3,0,3,0,0,0,0
Jan:08:2014:19:51:27,75,3,0,3,0,0,0,0
Jan:08:2014:19:51:57,75,3,0,3,0,0,0,0
Jan:08:2014:19:52:27,75,3,0,3,0,0,0,0
Jan:08:2014:19:52:57,75,3,0,3,0,0,0,0
Jan:08:2014:19:53:27,75,3,0,3,0,0,0,0
Jan:08:2014:19:53:57,75,3,0,3,0,0,0,0
Jan:08:2014:19:54:27,75,3,0,3,0,0,0,0
